bundestag_id;nachname;vorname;wp;fraktion;full_name;twitter_handle;account_type;activity;;
11005024;Bergt;Bengt;20;Fraktion der Sozialdemokratischen Partei Deutschlands;Bengt Bergt;BengtBergt;person;1;;
11004669;Bernhard;Marc;20;Alternative für Deutschland;Marc Bernhard;MarcBernhardAfD;person;1;;
11004010;Beyer;Peter;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;Peter Beyer;Peter_Beyer;person;1;;
11004673;Biadacz;Marc;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;Marc Biadacz;MBiadaczMdB;person;1;;
11004011;Bilger;Steffen;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;Steffen Bilger;SteffenBilger;person;1;;
11004012;Birkwald;Matthias W.;20;Fraktion DIE LINKE.;Matthias W. Birkwald;MWBirkwald;person;1;;
11005025;Blankenburg;Jakob;20;Fraktion der Sozialdemokratischen Partei Deutschlands;Jakob Blankenburg;JakobBla;person;1;;
11004674;Bleck;Andreas;20;Alternative für Deutschland;Andreas Bleck;andreasbleckmdb;person;1;;
11005026;Bochmann;René;20;Alternative für Deutschland;René Bochmann;NA;person;NA;;
11005027;Bodtke;Ingo;20;Fraktion der Freien Demokratischen Partei;Ingo Bodtke;IngoBodtke;person;1;;
11004675;Boehringer;Peter;20;Alternative für Deutschland;Peter Boehringer;PeterBoehringer;person;1;;
11005028;Boginski;Friedhelm;20;Fraktion der Freien Demokratischen Partei;Friedhelm Boginski;f_boginski;person;1;;
11005029;Bollmann;Gereon;20;Alternative für Deutschland;Gereon Bollmann;NA;person;NA;;
11005030;Borchardt;Simone;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;Simone Borchardt;NA;person;NA;;
11003742;Brand;Michael;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;Michael Brand;NA;person;NA;;
11004676;Brandenburg;Jens;20;Fraktion der Freien Demokratischen Partei;Jens Brandenburg;JBrandenburgFDP;person;1;;
11004677;Brandenburg;Mario;20;Fraktion der Freien Demokratischen Partei;Mario Brandenburg;BraFDP;person;1;;
11005031;Brandes;Dirk;20;Alternative für Deutschland;Dirk Brandes;NA;person;NA;;
11004018;Brandl;Reinhard;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;Reinhard Brandl;reinhardbrandl;person;1;;
11004678;Brandner;Stephan;20;Alternative für Deutschland;Stephan Brandner;StBrandner;person;1;;
11004255;Brantner;Franziska;20;Fraktion BÜNDNIS 90/DIE GRÜNEN;Franziska Brantner;fbrantner;person;1;;
11003510;Braun;Helge;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;Helge Braun;HBraun;person;1;;
11004680;Braun;Jürgen;20;Alternative für Deutschland;Jürgen Braun;JuergenBraunAfD;person;1;;
11004681;Breher;Silvia;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;Silvia Breher;BreherSilvia;person;1;;
11004682;Brehm;Sebastian;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;Sebastian Brehm;Brehm_inNBGNord;person;1;;
11004019;Brehmer;Heike;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;Heike Brehmer;HeikeBrehmerMdB;person;1;;
11005032;Breilmann;Michael;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;Michael Breilmann;m_breilmann;person;1;;
11004683;Breymaier;Leni;20;Fraktion der Sozialdemokratischen Partei Deutschlands;Leni Breymaier;LeniBreymaier;person;1;;
11004021;Brinkhaus;Ralph;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;Ralph Brinkhaus;rbrinkhaus;person;1;;
11004684;Brodesser;Carsten;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;Carsten Brodesser;NA;person;NA;;
11005033;Bröhr;Marlon;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;Marlon Bröhr;therealmarlonb1;person;1;;
11004106;Brugger;Agnieszka;20;Fraktion BÜNDNIS 90/DIE GRÜNEN;Agnieszka Brugger;cagnieszka_mdb;person;1;;
11005034;Bsirske;Frank;20;Fraktion BÜNDNIS 90/DIE GRÜNEN;Frank Bsirske;cFBsirske;person;1;;
11004956;Bubendorfer-Licht;Sandra;20;Fraktion der Freien Demokratischen Partei;Sandra Bubendorfer-Licht;Bubendorferfdp;person;1;;
11004686;Budde;Katrin;20;Fraktion der Sozialdemokratischen Partei Deutschlands;Katrin Budde;NA;person;NA;;
11004687;Bühl;Marcus;20;Alternative für Deutschland;Marcus Bühl;Marcus_Buehl;person;1;;
11005289;Bünger;Clara;20;Fraktion DIE LINKE.;Clara Bünger;C_AB_;person;1;;
11005035;Bury;Yannick;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;Yannick Bury;YannickBury;person;1;;
11004023;Buschmann;Marco;20;Fraktion der Freien Demokratischen Partei;Marco Buschmann;MarcoBuschmann;person;1;;
11004690;Busen;Karlheinz;20;Fraktion der Freien Demokratischen Partei;Karlheinz Busen;busen_mdb;person;1;;
11004692;Bystron;Petr;20;Alternative für Deutschland;Petr Bystron;PetrBystronAfD;person;1;;
11005036;Cademartori Dujisin;Isabel;20;Fraktion der Sozialdemokratischen Partei Deutschlands;Isabel Cademartori Dujisin;isacademartori;person;1;;
11004257;Castellucci;Lars;20;Fraktion der Sozialdemokratischen Partei Deutschlands;Lars Castellucci;larscastellucci;person;1;;
11004694;Christmann;Anna;20;Fraktion BÜNDNIS 90/DIE GRÜNEN;Anna Christmann;annachristmann;person;1;;
11004695;Chrupalla;Tino;20;Alternative für Deutschland;Tino Chrupalla;Tino_Chrupalla;person;1;;
11003514;Connemann;Gitta;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;Gitta Connemann;gitta_connemann;person;1;;
11004639;Coße;Jürgen;20;Fraktion der Sozialdemokratischen Partei Deutschlands;Jürgen Coße;juergencosse;person;1;;
11004696;Cotar;Joana;20;Alternative für Deutschland;Joana Cotar;JoanaCotar;person;1;;
11004697;Cronenberg;Carl-Julius;20;Fraktion der Freien Demokratischen Partei;Carl-Julius Cronenberg;cjcronenberg;person;1;;
11004698;Curio;Gottfried;20;Alternative für Deutschland;Gottfried Curio;GottfriedCurio;person;1;;
11005037;Czaja;Mario;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;Mario Czaja;MarioCzaja;person;1;;
11003746;Dağdelen;Sevim;20;Fraktion DIE LINKE.;Sevim Dağdelen;SevimDagdelen;person;1;;
11004962;Dahmen;Janosch;20;Fraktion BÜNDNIS 90/DIE GRÜNEN;Janosch Dahmen;janoschdahmen;person;1;;
