,bundestag_id,nachname,vorname,wp,fraktion,full_name,twitter_handle,account_type,activity
102,11004258,Daldrup,Bernhard,20,SPD,Bernhard Daldrup,BernhardDaldrup,person,1.0
104,11003068,Deligöz,Ekin,20,Gruene,Ekin Deligöz,ekindeligoez,person,1.0
105,11005038,Demir,Hakan,20,SPD,Hakan Demir,HakanDemirNK,person,1.0
106,11005039,Detzer,Sandra,20,Gruene,Sandra Detzer,detzer_sandra,person,1.0
107,11004259,Diaby,Karamba,20,SPD,Karamba Diaby,KarambaDiaby,person,1.0
108,11005040,Diedenhofen,Martin,20,SPD,Martin Diedenhofen,MDiedenhofen,person,1.0
109,11005041,Dieren,Jan,20,SPD,Jan Dieren,JanUlrichDieren,person,1.0
110,11005042,Dietz,Thomas,20,AFD,Thomas Dietz,ThomasDietz_MdB,person,1.0
112,11004261,Dittmar,Sabine,20,SPD,Sabine Dittmar,dittmarsabine,person,1.0
113,11004029,Djir-Sarai,Bijan,20,FDP,Bijan Djir-Sarai,DjirSarai,person,1.0
115,11004703,Domscheit-Berg,Anke,20,Linke,Anke Domscheit-Berg,anked,person,1.0
118,11004263,Dröge,Katharina,20,Gruene,Katharina Dröge,katdro,person,1.0
120,11005045,Düring,Deborah,20,Gruene,Deborah Düring,DeborahDuering,person,1.0
121,11004705,Dürr,Christian,20,FDP,Christian Dürr,christianduerr,person,1.0
122,11004264,Durz,Hansjörg,20,CDU,Hansjörg Durz,Hansjoerg_Durz,person,1.0
123,11004215,Ebner,Harald,20,Gruene,Harald Ebner,ebner_sha,person,1.0
125,11005047,Eckert,Leon,20,Gruene,Leon Eckert,Leckert_,person,1.0
127,11004707,Ehrhorn,Thomas,20,AFD,Thomas Ehrhorn,Thomas_Ehrhorn,person,1.0
128,11005049,Eichwede,Sonja,20,SPD,Sonja Eichwede,sonjaeichwede,person,1.0
129,11004969,Emmerich,Marcel,20,Gruene,Marcel Emmerich,herr_emmerich,person,1.0
131,11005051,Engelhardt,Heike,20,SPD,Heike Engelhardt,HERavensburg,person,1.0
132,11005052,Englhardt-Kopf,Martina,20,CDU,Martina Englhardt-Kopf,EnglhardtKopf,person,0.0
133,11004709,Erndl,Thomas,20,CDU,Thomas Erndl,TErndl,person,1.0
134,11003753,Ernst,Klaus,20,Linke,Klaus Ernst,ernst_klaus,person,1.0
135,11004710,Esdar,Wiebke,20,SPD,Wiebke Esdar,wiebkeesdar1,person,1.0
136,11004267,Esken,Saskia,20,SPD,Saskia Esken,EskenSaskia,person,1.0
137,11004711,Espendiller,Michael,20,AFD,Michael Espendiller,DrMEspendiller,person,1.0
138,11004712,Faber,Marcus,20,FDP,Marcus Faber,MarcusFaber,person,1.0
139,11004713,Fahimi,Yasmin,20,SPD,Yasmin Fahimi,FahimiYasmin,person,1.0
141,11005053,Farle,Robert,20,AFD,Robert Farle,robert_farle,person,1.0
142,11005054,Fäscher,Ariane,20,SPD,Ariane Fäscher,ArianeFaescher,person,1.0
143,11004270,Fechner,Johannes,20,SPD,Johannes Fechner,FechnerJohannes,person,0.0
144,11004271,Feiler,Uwe,20,CDU,Uwe Feiler,UweFe,person,0.0
145,11004714,Felser,Peter,20,AFD,Peter Felser,PeterFelser,person,1.0
147,11004715,Ferschl,Susanne,20,Linke,Susanne Ferschl,SusanneFerschl,person,1.0
148,11005055,Fester,Emilia,20,Gruene,Emilia Fester,emiliafester,person,1.0
149,11005056,Fiedler,Sebastian,20,SPD,Sebastian Fiedler,fiedelseb,person,1.0
150,11004716,Föst,Daniel,20,FDP,Daniel Föst,DFoest,person,1.0
151,11004033,Franke,Edgar,20,SPD,Edgar Franke,FrankeEdgar,person,1.0
152,11004276,Frei,Thorsten,20,CDU,Thorsten Frei,thorsten_frei,person,1.0
153,11003530,Fricke,Otto,20,FDP,Otto Fricke,Otto_Fricke,person,1.0
154,11004719,Friedhoff,Dietmar,20,AFD,Dietmar Friedhoff,dietmarfriedho1,person,1.0
155,11003124,Friedrich,Hans-Peter,20,CDU,Hans-Peter Friedrich,HPFriedrichCSU,person,1.0
156,11004034,Frieser,Michael,20,CDU,Michael Frieser,MichaelFrieser,person,1.0
157,11004721,Frohnmaier,Markus,20,AFD,Markus Frohnmaier,Frohnmaier_AfD,person,1.0
158,11004722,Frömming,Götz,20,AFD,Götz Frömming,GtzFrmming,person,1.0
159,11005057,Funke,Fabian,20,SPD,Fabian Funke,funke_fabian,person,1.0
160,11005058,Funke-Kaiser,Maximilian,20,FDP,Maximilian Funke-Kaiser,max_fksr,person,1.0
161,11004036,Gädechens,Ingo,20,CDU,Ingo Gädechens,gadechens,person,1.0
162,11005059,Gambir,Schahina,20,Gruene,Schahina Gambir,schahinag,person,0.0
163,11005060,Ganserer,Tessa,20,Gruene,Tessa Ganserer,GansGruen,person,1.0
164,11005061,Gassner-Herz,Martin,20,FDP,Martin Gassner-Herz,MartinGassner,person,1.0
165,11004278,Gastel,Matthias,20,Gruene,Matthias Gastel,MatthiasGastel,person,0.0
166,11004724,Gauland,Alexander,20,AFD,Alexander Gauland,AlexGauland,person,0.0
168,11004038,Gebhart,Thomas,20,CDU,Thomas Gebhart,thomasgebhart,person,1.0
169,11003756,Gehring,Kai,20,Gruene,Kai Gehring,KaiGehring,person,1.0
170,11005063,Geissler,Jonas,20,CDU,Jonas Geissler,GeisslerJonas,person,1.0
171,11004726,Gelbhaar,Stefan,20,Gruene,Stefan Gelbhaar,StefanGelbhaar,person,1.0
172,11004039,Gerdes,Michael,20,SPD,Michael Gerdes,GerdesMdB,person,0.0
173,11005064,Gerschau,Knut,20,FDP,Knut Gerschau,Knut_Abraham,person,1.0
175,11005065,Gesenhues,Jan-Niclas,20,Gruene,Jan-Niclas Gesenhues,JN_Gesenhues,person,1.0
176,11004727,Glaser,Albrecht,20,AFD,Albrecht Glaser,GlaserMdb,person,1.0
177,11004614,Glöckner,Angelika,20,SPD,Angelika Glöckner,A_Gloeckner,person,1.0
178,11005066,Gnauck,Hannes,20,AFD,Hannes Gnauck,Hannes_Gnauck,person,1.0
179,11004041,Gohlke,Nicole,20,Linke,Nicole Gohlke,NicoleGohlke,person,1.0
180,11003132,Göring-Eckardt,Katrin,20,Gruene,Katrin Göring-Eckardt,GoeringEckardt,person,1.0
181,11005067,Görke,Christian,20,Linke,Christian Görke,goerke_c,person,1.0
182,11004731,Gottschalk,Kay,20,AFD,Kay Gottschalk,KayGottschalk1,person,0.0
183,11005068,Gramling,Fabian,20,CDU,Fabian Gramling,FabianGramling,person,1.0
184,11005069,Gräßle,Ingeborg,20,CDU,Ingeborg Gräßle,inge_graessle,person,1.0
185,11005070,Grau,Armin,20,Gruene,Armin Grau,ArminGrau,person,1.0
186,11004732,Gremmels,Timon,20,SPD,Timon Gremmels,Timon_Gremmels,person,1.0
187,11003440,Griese,Kerstin,20,SPD,Kerstin Griese,KerstinGriese,person,1.0
188,11002666,Gröhe,Hermann,20,CDU,Hermann Gröhe,groehe,person,1.0
189,11003541,Grosse-Brömer,Michael,20,CDU,Michael Grosse-Brömer,MGrosseBroemer,person,1.0
190,11004282,Grötsch,Uli,20,SPD,Uli Grötsch,UliGroetsch,person,1.0
191,11003542,Grübel,Markus,20,CDU,Markus Grübel,GruebelMdb,person,1.0
193,11004733,Grundl,Erhard,20,Gruene,Erhard Grundl,Erhard_Grundl,person,1.0
196,11005071,Grützmacher,Sabine,20,Gruene,Sabine Grützmacher,S_Gruetzmacher,person,1.0
197,11005072,Güler,Serap,20,CDU,Serap Güler,SerapGueler,person,1.0
198,11004285,Güntzler,Fritz,20,CDU,Fritz Güntzler,FGuentzler,person,1.0
199,11005073,Gürpinar,Ates,20,Linke,Ates Gürpinar,AtesGuerpinar,person,1.0
200,11003544,Gutting,Olav,20,CDU,Olav Gutting,olavgutting,person,1.0
201,11000756,Gysi,Gregor,20,Linke,Gregor Gysi,GregorGysi,person,1.0
202,11004286,Haase,Christian,20,CDU,Christian Haase,ChristianHaase6,person,1.0
204,11004734,Hacker,Thomas,20,FDP,Thomas Hacker,hacker_fdp,person,1.0
206,11004287,Hagl-Kehl,Rita,20,SPD,Rita Hagl-Kehl,RitaHaglKehl,person,1.0
207,11004048,Hahn,Florian,20,CDU,Florian Hahn,hahnflo,person,1.0
209,11004289,Hakverdi,Metin,20,SPD,Metin Hakverdi,MetinHakverdi,person,1.0
211,11004736,Harder-Kühnel,Mariana Iris,20,AFD,Mariana Iris Harder-Kühnel,M_HarderKuehnel,person,1.0
212,11004050,Hardt,Jürgen,20,CDU,Jürgen Hardt,juergenhardt,person,1.0
213,11005075,Hartewig,Philipp,20,FDP,Philipp Hartewig,philipphartewig,person,1.0
214,11004291,Hartmann,Sebastian,20,SPD,Sebastian Hartmann,sebast_hartmann,person,1.0
215,11005076,Harzer,Ulrike,20,FDP,Ulrike Harzer,HarzerUlrike,person,1.0
216,11003764,Haßelmann,Britta,20,Gruene,Britta Haßelmann,BriHasselmann,person,1.0
217,11004292,Hauer,Matthias,20,CDU,Matthias Hauer,MatthiasHauer,person,1.0
218,11004739,Haug,Jochen,20,AFD,Jochen Haug,Jochen_Haug,person,1.0
219,11004294,Heck,Stefan,20,CDU,Stefan Heck,StHeck,person,1.0
221,11004948,Heidt,Peter,20,FDP,Peter Heidt,PeterHeidtFDP,person,1.0
222,11003142,Heil,Hubertus,20,SPD,Hubertus Heil,hubertus_heil,person,1.0
223,11004052,Heil,Mechthild,20,CDU,Mechthild Heil,MechthildHeil,person,1.0
224,11005077,Heiligenstadt,Frauke,20,SPD,Frauke Heiligenstadt,FHeiligenstadt,person,1.0
225,11004741,Heilmann,Thomas,20,CDU,Thomas Heilmann,ThomasHeilmann,person,1.0
226,11004296,Heinrich,Gabriela,20,SPD,Gabriela Heinrich,GaHeinrich,person,1.0
227,11005078,Heitmann,Linda,20,Gruene,Linda Heitmann,linda_lobster,person,1.0
228,11005079,Helferich,Matthias,20,Fraktionslos,Matthias Helferich,MatthiasMdb,person,1.0
230,11004742,Helling-Plahr,Katrin,20,FDP,Katrin Helling-Plahr,KatrinHelling,person,1.0
231,11004226,Hellmich,Wolfgang,20,SPD,Wolfgang Hellmich,HellmichMdB,person,1.0
232,11005080,Henneberger,Kathrin,20,Gruene,Kathrin Henneberger,KathrinAnna,person,1.0
233,11005081,Hennig,Anke,20,SPD,Anke Hennig,AnkeHennigSPD,person,1.0
234,11005082,Hennig-Wellsow,Susanne,20,Linke,Susanne Hennig-Wellsow,SusanneHennig,person,1.0
235,11003551,Hennrich,Michael,20,CDU,Michael Hennrich,MichaelHennric2,person,0.0
236,11004744,Henrichmann,Marc,20,CDU,Marc Henrichmann,MarcHenrichmann,person,1.0
237,11004745,Herbrand,Markus,20,FDP,Markus Herbrand,HerbrandMarkus,person,1.0
238,11004746,Herbst,Torsten,20,FDP,Torsten Herbst,torstenherbst,person,1.0
239,11005083,Herrmann,Bernhard,20,Gruene,Bernhard Herrmann,BHerrmann_,person,1.0
240,11005084,Heselhaus,Nadine,20,SPD,Nadine Heselhaus,NHeselhaus,person,1.0
241,11004749,Hess,Martin,20,AFD,Martin Hess,Martin_Hess_AfD,person,1.0
242,11004750,Hessel,Katja,20,FDP,Katja Hessel,fdp_hessel,person,1.0
244,11005085,Hierl,Susanne,20,CDU,Susanne Hierl,HierlSusanne,person,1.0
245,11004752,Hilse,Karsten,20,AFD,Karsten Hilse,HilseMdb,person,1.0
246,11003890,Hirte,Christian,20,CDU,Christian Hirte,ChristianHirte,person,1.0
247,11004303,Hitschler,Thomas,20,SPD,Thomas Hitschler,ThomasHitschler,person,1.0
248,11004753,Höchst,Nicole,20,AFD,Nicole Höchst,Nicole_Hoechst,person,1.0
249,11004754,Hocker,Gero Clemens,20,FDP,Gero Clemens Hocker,GeroHocker,person,1.0
250,11004057,Höferlin,Manuel,20,FDP,Manuel Höferlin,ManuelHoeferlin,person,1.0
251,11004304,Hoffmann,Alexander,20,CDU,Alexander Hoffmann,Hoffmann_MdB,person,1.0
252,11004756,Hoffmann,Bettina,20,Gruene,Bettina Hoffmann,bhoffmann_mdb,person,1.0
253,11004757,Hoffmann,Christoph,20,FDP,Christoph Hoffmann,HoffmannForest,person,1.0
254,11003772,Hofreiter,Anton,20,Gruene,Anton Hofreiter,ToniHofreiter,person,0.0
255,11004761,Holm,Leif-Erik,20,AFD,Leif-Erik Holm,Leif_Erik_Holm,person,1.0
256,11005086,Hönel,Bruno,20,Gruene,Bruno Hönel,Bruno_Hoenel,person,1.0
258,11005087,Hoppermann,Franziska,20,CDU,Franziska Hoppermann,FHoppermann,person,1.0
259,11005088,Hostert,Jasmina,20,SPD,Jasmina Hostert,JasminaHoster,person,1.0
260,11004763,Houben,Reinhard,20,FDP,Reinhard Houben,HoubenReinhard,person,1.0
261,11004764,Huber,Johannes,20,AFD,Johannes Huber,Huber_AfD,person,0.0
262,11005089,Hubertz,Verena,20,SPD,Verena Hubertz,verenahubertz,person,1.0
263,11005090,Hümpfer,Markus,20,SPD,Markus Hümpfer,HumpferMarkus,person,0.0
264,11004060,Hunko,Andrej,20,Linke,Andrej Hunko,AndrejHunko,person,1.0
265,11000975,Hüppe,Hubert,20,CDU,Hubert Hüppe,HueppeMdB,person,1.0
266,11005091,Huy,Gerrit,20,AFD,Gerrit Huy,GerritHuy,person,1.0
267,11004667,In der Beek,Olaf,20,FDP,Olaf In der Beek,olafinderbeek,person,1.0
270,11004312,Janecek,Dieter,20,Gruene,Dieter Janecek,DJanecek,person,1.0
273,11004061,Jarzombek,Thomas,20,CDU,Thomas Jarzombek,tj_tweets,person,1.0
274,11004941,Jensen,Gyde,20,FDP,Gyde Jensen,GydeJ,person,1.0
275,11004768,Jongen,Marc,20,AFD,Marc Jongen,Marc_Jongen,person,1.0
277,11004770,Jung,Ingmar,20,CDU,Ingmar Jung,Ingmar_Jung,person,1.0
278,11004317,Junge,Frank,20,SPD,Frank Junge,jungeinberlin,person,1.0
279,11003782,Juratovic,Josip,20,SPD,Josip Juratovic,josip_juratovic,person,1.0
280,11005094,Jurisch,Ann-Veruschka,20,FDP,Ann-Veruschka Jurisch,avjurisch,person,1.0
281,11004063,Kaczmarek,Oliver,20,SPD,Oliver Kaczmarek,KaczmarekOliver,person,1.0
282,11005095,Kaddor,Lamya,20,Gruene,Lamya Kaddor,LamyaKaddor,person,1.0
283,11004771,Kaiser,Elisabeth,20,SPD,Elisabeth Kaiser,Kaiser_SPD,person,1.0
284,11004773,Kappert-Gonther,Kirsten,20,Gruene,Kirsten Kappert-Gonther,KirstenKappert,person,1.0
285,11005096,Karaahmetoğlu,Macit,20,SPD,Macit Karaahmetoğlu,Macit_SPD,person,1.0
286,11004323,Karliczek,Anja,20,CDU,Anja Karliczek,AnjaKarliczek,person,1.0
287,11005097,Kasper,Carlos,20,SPD,Carlos Kasper,CarlosKasperMdB,person,1.0
288,11005098,Kassautzki,Anna,20,SPD,Anna Kassautzki,annakassautzki,person,1.0
289,11004325,Katzmarek,Gabriele,20,SPD,Gabriele Katzmarek,GabyKatzmarek,person,1.0
290,11005099,Kaufmann,Malte,20,AFD,Malte Kaufmann,MalteKaufmann,person,1.0
291,11005100,Kaufmann,Michael,20,AFD,Michael Kaufmann,KaufmannAfD,person,1.0
292,11005101,Keller,Rainer Johannes,20,SPD,Rainer Johannes Keller,RainerKellerWES,person,1.0
293,11005102,Kellner,Michael,20,Gruene,Michael Kellner,MiKellner,person,1.0
294,11004617,Kemmer,Ronja,20,CDU,Ronja Kemmer,RonjaKemmer,person,1.0
295,11005103,Kersten,Franziska,20,SPD,Franziska Kersten,FKerstenMdB,person,1.0
296,11004067,Keul,Katja,20,Gruene,Katja Keul,KatjaKeul,person,1.0
