Id;Fraktion
philipphartewig;Fraktion der Freien Demokratischen Partei
HarzerUlrike;Fraktion der Freien Demokratischen Partei
FHeiligenstadt;Fraktion der Sozialdemokratischen Partei Deutschlands
linda_lobster;Fraktion BÜNDNIS 90/DIE GRÜNEN
MatthiasMdb;Fraktionslos
KathrinAnna;Fraktion BÜNDNIS 90/DIE GRÜNEN
AnkeHennigSPD;Fraktion der Sozialdemokratischen Partei Deutschlands
SusanneHennig;Fraktion DIE LINKE.
BHerrmann_;Fraktion BÜNDNIS 90/DIE GRÜNEN
NHeselhaus;Fraktion der Sozialdemokratischen Partei Deutschlands
HierlSusanne;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
Bruno_Hoenel;Fraktion BÜNDNIS 90/DIE GRÜNEN
FHoppermann;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
JasminaHostert;Fraktion der Sozialdemokratischen Partei Deutschlands
verenahubertz;Fraktion der Sozialdemokratischen Partei Deutschlands
GerritHuy;Alternative für Deutschland
avjurisch;Fraktion der Freien Demokratischen Partei
LamyaKaddor;Fraktion BÜNDNIS 90/DIE GRÜNEN
Macit_SPD;Fraktion der Sozialdemokratischen Partei Deutschlands
CarlosKasperMdB;Fraktion der Sozialdemokratischen Partei Deutschlands
annakassautzki;Fraktion der Sozialdemokratischen Partei Deutschlands
MalteKaufmann;Alternative für Deutschland
KaufmannAfD;Alternative für Deutschland
RainerKellerWES;Fraktion der Sozialdemokratischen Partei Deutschlands
MiKellner;Fraktion BÜNDNIS 90/DIE GRÜNEN
FKerstenMdB;Fraktion der Sozialdemokratischen Partei Deutschlands
Bina_Khan_;Fraktion BÜNDNIS 90/DIE GRÜNEN
helmut_kleebank;Fraktion der Sozialdemokratischen Partei Deutschlands
Ottilie_Klein;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
AnniKlose;Fraktion der Sozialdemokratischen Partei Deutschlands
AnneKoenig_;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
chantal_kopf;Fraktion BÜNDNIS 90/DIE GRÜNEN
SimonaMdB;Fraktion der Sozialdemokratischen Partei Deutschlands
laura_kraft_;Fraktion BÜNDNIS 90/DIE GRÜNEN
PhiKraemer;Fraktion BÜNDNIS 90/DIE GRÜNEN
krusehamburg;Fraktion der Freien Demokratischen Partei
TKuban96;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
KuehniKev;Fraktion der Sozialdemokratischen Partei Deutschlands
Ricarda_Lang;Fraktion BÜNDNIS 90/DIE GRÜNEN
andreaslarem;Fraktion der Sozialdemokratischen Partei Deutschlands
KLHohenlohe;Fraktion der Sozialdemokratischen Partei Deutschlands
JurgenLenders;Fraktion der Freien Demokratischen Partei
christian_leye;Fraktion DIE LINKE.
BodeLuiza;Fraktion der Sozialdemokratischen Partei Deutschlands
ThorstenLieb;Fraktion der Freien Demokratischen Partei
anja_liebert;Fraktion BÜNDNIS 90/DIE GRÜNEN
EsraLimbacher;Fraktion der Sozialdemokratischen Partei Deutschlands
Helge_Limburg;Fraktion BÜNDNIS 90/DIE GRÜNEN
denise_loop;Fraktion BÜNDNIS 90/DIE GRÜNEN
max_lucks;Fraktion BÜNDNIS 90/DIE GRÜNEN
BettinaLugk;Fraktion der Sozialdemokratischen Partei Deutschlands
kristine_lutke;Fraktion der Freien Demokratischen Partei
HolgerMannLE;Fraktion der Sozialdemokratischen Partei Deutschlands
El_KaWeh_;Fraktion der Sozialdemokratischen Partei Deutschlands
ZandaMartens;Fraktion der Sozialdemokratischen Partei Deutschlands
ParsaMarvi;Fraktion der Sozialdemokratischen Partei Deutschlands
f_mascheck;Fraktion der Sozialdemokratischen Partei Deutschlands
zoe_gruene;Fraktion BÜNDNIS 90/DIE GRÜNEN
VMayer_Lay;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
Mehli;Fraktion der Sozialdemokratischen Partei Deutschlands
TakisMehmetAli;Fraktion der Sozialdemokratischen Partei Deutschlands
AnikoMerten;Fraktion der Freien Demokratischen Partei
mesarosch;Fraktion der Sozialdemokratischen Partei Deutschlands
SwantjeMichael1;Fraktion BÜNDNIS 90/DIE GRÜNEN
Kthrn_Mchl_SPD;Fraktion der Sozialdemokratischen Partei Deutschlands
borismijatovic;Fraktion BÜNDNIS 90/DIE GRÜNEN
Mike_Moncsek;Alternative für Deutschland
maxmordhorst;Fraktion der Freien Demokratischen Partei
maxmoerseburg;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
FlorianMM;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
SaschaMuller;Fraktion BÜNDNIS 90/DIE GRÜNEN
SaraNanni;Fraktion BÜNDNIS 90/DIE GRÜNEN
rasha_nasr_;Fraktion der Sozialdemokratischen Partei Deutschlands
edgar_naujok;Alternative für Deutschland
OpheliaNick;Fraktion BÜNDNIS 90/DIE GRÜNEN
BrianNickholz;Fraktion der Sozialdemokratischen Partei Deutschlands
joergnurnberger;Fraktion der Sozialdemokratischen Partei Deutschlands
lennardoehl;Fraktion der Sozialdemokratischen Partei Deutschlands
MoritzOppelt;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
karo_otte;Fraktion BÜNDNIS 90/DIE GRÜNEN
J_Pahlke;Fraktion BÜNDNIS 90/DIE GRÜNEN
Dr_Pantazis;Fraktion der Sozialdemokratischen Partei Deutschlands
M_Papendieck;Fraktion der Sozialdemokratischen Partei Deutschlands
JensPeick;Fraktion der Sozialdemokratischen Partei Deutschlands
PaulaPiechotta;Fraktion BÜNDNIS 90/DIE GRÜNEN
JanPlobner;Fraktion der Sozialdemokratischen Partei Deutschlands
MartinPlumMdB;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
docredder;Fraktion der Freien Demokratischen Partei
HenningRehbaum;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
MarkusReichelDD;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
HeidiReichinnek;Fraktion DIE LINKE.
YeOne_Rhie;Fraktion der Sozialdemokratischen Partei Deutschlands
SebRoloff;Fraktion der Sozialdemokratischen Partei Deutschlands
jessi_rosenthal;Fraktion der Sozialdemokratischen Partei Deutschlands
TR_Bremen;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
jethoru;Fraktion der Sozialdemokratischen Partei Deutschlands
kassem_ts;Fraktion BÜNDNIS 90/DIE GRÜNEN
CatarinaDosSa;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
ingoschaeferspd;Fraktion der Sozialdemokratischen Partei Deutschlands
jamila_anna;Fraktion BÜNDNIS 90/DIE GRÜNEN
sebastian_es_;Fraktion BÜNDNIS 90/DIE GRÜNEN
Schattner_MdB;Alternative für Deutschland
schenderleinmdb;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
kratermensch;Fraktion der Sozialdemokratischen Partei Deutschlands
AfDrus;Alternative für Deutschland
jws_afd;Alternative für Deutschland
schneider_cux;Fraktion der Sozialdemokratischen Partei Deutschlands
lime_green_leni;Fraktion BÜNDNIS 90/DIE GRÜNEN
cj_schroeder;Fraktion BÜNDNIS 90/DIE GRÜNEN
ria_schroeder;Fraktion der Freien Demokratischen Partei
_anja_schulz;Fraktion der Freien Demokratischen Partei
SvenjaSchulze68;Fraktion der Sozialdemokratischen Partei Deutschlands
ArminSchwarz;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
stefan_seidler;Fraktionslos
StSeiter;Fraktion der Freien Demokratischen Partei
Lina_Seitzl;Fraktion der Sozialdemokratischen Partei Deutschlands
Melis_S;Fraktion BÜNDNIS 90/DIE GRÜNEN
RainerSemet;Fraktion der Freien Demokratischen Partei
nyke_slawik;Fraktion BÜNDNIS 90/DIE GRÜNEN
AnneSpallek;Fraktion BÜNDNIS 90/DIE GRÜNEN
spellerberg_m;Fraktion BÜNDNIS 90/DIE GRÜNEN
ninastahr;Fraktion BÜNDNIS 90/DIE GRÜNEN
till_steffen;Fraktion BÜNDNIS 90/DIE GRÜNEN
Ralf_Stegner;Fraktion der Sozialdemokratischen Partei Deutschlands
HanSteinmueller;Fraktion BÜNDNIS 90/DIE GRÜNEN
nadjasthamer;Fraktion der Sozialdemokratischen Partei Deutschlands
KonradStockmei1;Fraktion der Freien Demokratischen Partei
stuewer;Fraktion der Sozialdemokratischen Partei Deutschlands
AwetTesfaiesus;Fraktion BÜNDNIS 90/DIE GRÜNEN
jensteutrine;Fraktion der Freien Demokratischen Partei
NicoTippelt;Fraktion der Freien Demokratischen Partei
derya_tn;Fraktion der Sozialdemokratischen Partei Deutschlands
katrinuhligbn;Fraktion BÜNDNIS 90/DIE GRÜNEN
WagenerNiklas;Fraktion BÜNDNIS 90/DIE GRÜNEN
robinwagener;Fraktion BÜNDNIS 90/DIE GRÜNEN
yooHannes;Fraktion BÜNDNIS 90/DIE GRÜNEN
Krawallstein;Fraktion der Sozialdemokratischen Partei Deutschlands
HannesWalterSPD;Fraktion der Sozialdemokratischen Partei Deutschlands
CarmenWegge;Fraktion der Sozialdemokratischen Partei Deutschlands
SaskiaLeaRaquel;Fraktion BÜNDNIS 90/DIE GRÜNEN
StefWenzel;Fraktion BÜNDNIS 90/DIE GRÜNEN
thereallenzii;Fraktion der Sozialdemokratischen Partei Deutschlands
KlausWiener;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
TobiasWINKLER_;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
TinaWinklmann;Fraktion BÜNDNIS 90/DIE GRÜNEN
Janine_Wissler;Fraktion DIE LINKE.
MareikeWulf;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
JoachimWundrak;Alternative für Deutschland
KayUweZiegler71;Alternative für Deutschland
NZippelius;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
ArmandZorn;Fraktion der Sozialdemokratischen Partei Deutschlands
CRaffelhueschen;Fraktion der Freien Demokratischen Partei
C_AB_;Fraktion DIE LINKE.
Bundeskanzler;Fraktion der Sozialdemokratischen Partei Deutschlands
ABaerbockArchiv;Fraktion BÜNDNIS 90/DIE GRÜNEN
AnnalenaBaerbockAlias;Fraktion BÜNDNIS 90/DIE GRÜNEN
OlafScholzAlias;Fraktion der Sozialdemokratischen Partei Deutschland
