Id;Fraktion
KaczmarekOliver;Fraktion der Sozialdemokratischen Partei Deutschlands
KatjaKeul;Fraktion BÜNDNIS 90/DIE GRÜNEN
RKiesewetter;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
sven_kindler;Fraktion BÜNDNIS 90/DIE GRÜNEN
MariaKlSchmeink;Fraktion BÜNDNIS 90/DIE GRÜNEN
axel_knoerig;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
PascalKober;Fraktion der Freien Demokratischen Partei
Oliver_Krischer;Fraktion BÜNDNIS 90/DIE GRÜNEN
UlrichLange;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
CarenLay;Fraktion DIE LINKE.
RLenkert;Fraktion DIE LINKE.
LFLindemann;Fraktion der Freien Demokratischen Partei
c_lindner;Fraktion der Freien Demokratischen Partei
JM_Luczak;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
OlliLuksic;Fraktion der Freien Demokratischen Partei
thlutze;Fraktion DIE LINKE.
agnieszka_mdb;Fraktion BÜNDNIS 90/DIE GRÜNEN
AMattfeldt;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
Conni_Moehring;Fraktion DIE LINKE.
NadineSchoen;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
GrueneBeate;Fraktion BÜNDNIS 90/DIE GRÜNEN
Ingrid_Nestle;Fraktion BÜNDNIS 90/DIE GRÜNEN
KonstantinNotz;Fraktion BÜNDNIS 90/DIE GRÜNEN
oezoguz;Fraktion der Sozialdemokratischen Partei Deutschlands
lisapaus;Fraktion BÜNDNIS 90/DIE GRÜNEN
TabeaRoessner;Fraktion BÜNDNIS 90/DIE GRÜNEN
Erwin_Rueddel;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
Pschnieder;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
s_schwartze;Fraktion der Sozialdemokratischen Partei Deutschlands
JudithSkudelny;Fraktion der Freien Demokratischen Partei
StephanThomae;Fraktion der Freien Demokratischen Partei
johannesvogel;Fraktion der Freien Demokratischen Partei
voglerk;Fraktion DIE LINKE.
JoWadephul;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
SWagenknecht;Fraktion DIE LINKE.
ebner_sha;Fraktion BÜNDNIS 90/DIE GRÜNEN
tobiaslindner;Fraktion BÜNDNIS 90/DIE GRÜNEN
TeamBeate;Fraktion BÜNDNIS 90/DIE GRÜNEN
MTodtenhausen;Fraktion der Freien Demokratischen Partei
HellmichMdB;Fraktion der Sozialdemokratischen Partei Deutschlands
reinholdmdb;Fraktion der Freien Demokratischen Partei
ABaerbock;Fraktion BÜNDNIS 90/DIE GRÜNEN
MdB_Ulrike_Bahr;Fraktion der Sozialdemokratischen Partei Deutschlands
fbrantner;Fraktion BÜNDNIS 90/DIE GRÜNEN
