bundestag_id;nachname;vorname;wp;fraktion;twitter_handle;account_type;twitter_id;twitter_name;created_at;description;location;protected;followers_count;following_count;tweet_count;listed_count;verified;api_call
11003231;Scholz;Olaf;20;Fraktion der Sozialdemokratischen Partei Deutschlands;Bundeskanzler;person;1489164711652466688;Bundeskanzler Olaf Scholz;2022-02-03 09:12:06+00:00;"Bundeskanzler der Bundesrepublik Deutschland / Federal Chancellor of the Federal Republic of Germany

Privater Account/personal account: @olafscholz";;False;496790;102;251;1264;True;2022-06-25 16:56:00.537674
11004245;Baerbock;Annalena;20;Fraktion BÜNDNIS 90/DIE GRÜNEN;ABaerbockArchiv;person;2179010672;Annalena Baerbock (Archiv);2013-11-07 00:04:11+00:00;Dies ist ein Archiv des Twitter-Accounts von Annalena Baerbock für den Zeitraum bis 9.12.2021. Hier wird nicht mehr getwittert.;;False;420662;1463;4482;1532;True;2022-06-25 16:56:02.273562
