source_screen_name;source_id;target_screen_name;target_id;following;api_call
GregorGysi;888289790;smuellermdb;17960911;False;2022-05-27 15:53:48.998720
smuellermdb;17960911;GregorGysi;888289790;False;2022-05-27 15:53:48.998720
GregorGysi;888289790;DaniLudwigMdB;1019846605044936705;False;2022-05-27 15:53:48.998720
DaniLudwigMdB;1019846605044936705;GregorGysi;888289790;False;2022-05-27 15:53:48.998720
GregorGysi;888289790;andreasscheuer;50315139;False;2022-05-27 15:53:48.998720
andreasscheuer;50315139;GregorGysi;888289790;False;2022-05-27 15:53:48.998720
GregorGysi;888289790;SilberhornMdB;951489275312443392;False;2022-05-27 15:53:48.998720
SilberhornMdB;951489275312443392;GregorGysi;888289790;False;2022-05-27 15:53:48.998720
GregorGysi;888289790;jensspahn;299650387;False;2022-05-27 15:53:48.998720
jensspahn;299650387;GregorGysi;888289790;False;2022-05-27 15:53:48.998720
GregorGysi;888289790;CvStetten;1334019378;False;2022-05-27 15:53:48.998720
CvStetten;1334019378;GregorGysi;888289790;False;2022-05-27 15:53:48.998720
GregorGysi;888289790;gero_storjohann;20534846;False;2022-05-27 15:53:48.998720
gero_storjohann;20534846;GregorGysi;888289790;True;2022-05-27 15:53:48.998720
GregorGysi;888289790;AntjeTillmann;1082925763316367360;False;2022-05-27 15:53:48.998720
AntjeTillmann;1082925763316367360;GregorGysi;888289790;False;2022-05-27 15:53:48.998720
GregorGysi;888289790;wanderwitz;16361044;False;2022-05-27 15:53:48.998720
wanderwitz;16361044;GregorGysi;888289790;False;2022-05-27 15:53:48.998720
GregorGysi;888289790;Wissing;20593301;False;2022-05-27 15:53:48.998720
Wissing;20593301;GregorGysi;888289790;False;2022-05-27 15:53:48.998720
GregorGysi;888289790;BaerbelKofler;193629792;False;2022-05-27 15:53:48.998720
BaerbelKofler;193629792;GregorGysi;888289790;False;2022-05-27 15:53:48.998720
GregorGysi;888289790;larsklingbeil;16255941;False;2022-05-27 15:53:48.998720
larsklingbeil;16255941;GregorGysi;888289790;False;2022-05-27 15:53:48.998720
GregorGysi;888289790;NielsAnnen;42401449;False;2022-05-27 15:53:48.998720
NielsAnnen;42401449;GregorGysi;888289790;True;2022-05-27 15:53:48.998720
GregorGysi;888289790;Thomas_Bareiss;2797812265;False;2022-05-27 15:53:48.998720
Thomas_Bareiss;2797812265;GregorGysi;888289790;False;2022-05-27 15:53:48.998720
GregorGysi;888289790;SevimDagdelen;139407967;False;2022-05-27 15:53:48.998720
SevimDagdelen;139407967;GregorGysi;888289790;True;2022-05-27 15:53:48.998720
GregorGysi;888289790;ernst_klaus;64994645;True;2022-05-27 15:53:48.998720
ernst_klaus;64994645;GregorGysi;888289790;True;2022-05-27 15:53:48.998720
GregorGysi;888289790;KaiGehring;110368456;False;2022-05-27 15:53:48.998720
KaiGehring;110368456;GregorGysi;888289790;False;2022-05-27 15:53:48.998720
GregorGysi;888289790;BriHasselmann;1131092102;False;2022-05-27 15:53:48.998720
BriHasselmann;1131092102;GregorGysi;888289790;True;2022-05-27 15:53:48.998720
GregorGysi;888289790;ToniHofreiter;442678902;False;2022-05-27 15:53:48.998720
ToniHofreiter;442678902;GregorGysi;888289790;False;2022-05-27 15:53:48.998720
GregorGysi;888289790;josip_juratovic;738731811380076544;False;2022-05-27 15:53:48.998720
josip_juratovic;738731811380076544;GregorGysi;888289790;False;2022-05-27 15:53:48.998720
GregorGysi;888289790;katjakipping;28066013;True;2022-05-27 15:53:48.998720
katjakipping;28066013;GregorGysi;888289790;True;2022-05-27 15:53:48.998720
GregorGysi;888289790;jankortemdb;4164673821;True;2022-05-27 15:53:48.998720
jankortemdb;4164673821;GregorGysi;888289790;True;2022-05-27 15:53:48.998720
GregorGysi;888289790;Karl_Lauterbach;3292982985;False;2022-05-27 15:53:48.998720
Karl_Lauterbach;3292982985;GregorGysi;888289790;True;2022-05-27 15:53:48.998720
GregorGysi;888289790;michael_g_link;3034092143;False;2022-05-27 15:53:48.998720
michael_g_link;3034092143;GregorGysi;888289790;False;2022-05-27 15:53:48.998720
GregorGysi;888289790;KatjaMast;937678874095300609;False;2022-05-27 15:53:48.998720
KatjaMast;937678874095300609;GregorGysi;888289790;False;2022-05-27 15:53:48.998720
GregorGysi;888289790;MuellerChemnitz;784760007275515904;False;2022-05-27 15:53:48.998720
MuellerChemnitz;784760007275515904;GregorGysi;888289790;False;2022-05-27 15:53:48.998720
GregorGysi;888289790;HenningOtteMdB;1416388709264633858;False;2022-05-27 15:53:48.998720
HenningOtteMdB;1416388709264633858;GregorGysi;888289790;False;2022-05-27 15:53:48.998720
GregorGysi;888289790;SoenkeRix;36327895;False;2022-05-27 15:53:48.998720
SoenkeRix;36327895;GregorGysi;888289790;False;2022-05-27 15:53:48.998720
GregorGysi;888289790;f_schaeffler;18189342;False;2022-05-27 15:53:48.998720
f_schaeffler;18189342;GregorGysi;888289790;True;2022-05-27 15:53:48.998720
GregorGysi;888289790;m_schieder;1306503986791448576;False;2022-05-27 15:53:48.998720
m_schieder;1306503986791448576;GregorGysi;888289790;False;2022-05-27 15:53:48.998720
GregorGysi;888289790;FrankSchwabe;30050484;False;2022-05-27 15:53:48.998720
FrankSchwabe;30050484;GregorGysi;888289790;True;2022-05-27 15:53:48.998720
GregorGysi;888289790;rischwasu;50932086;False;2022-05-27 15:53:48.998720
rischwasu;50932086;GregorGysi;888289790;False;2022-05-27 15:53:48.998720
GregorGysi;888289790;Petra_Sitte_MdB;293522998;True;2022-05-27 15:53:48.998720
Petra_Sitte_MdB;293522998;GregorGysi;888289790;True;2022-05-27 15:53:48.998720
GregorGysi;888289790;florian_toncar;17462171;False;2022-05-27 15:53:48.998720
florian_toncar;17462171;GregorGysi;888289790;True;2022-05-27 15:53:48.998720
GregorGysi;888289790;nouripour;16674128;False;2022-05-27 15:53:48.998720
nouripour;16674128;GregorGysi;888289790;False;2022-05-27 15:53:48.998720
GregorGysi;888289790;W_SK;20840049;False;2022-05-27 15:53:48.998720
W_SK;20840049;GregorGysi;888289790;True;2022-05-27 15:53:48.998720
GregorGysi;888289790;ChristianHirte;37642893;False;2022-05-27 15:53:48.998720
ChristianHirte;37642893;GregorGysi;888289790;False;2022-05-27 15:53:48.998720
GregorGysi;888289790;cad59;25980076;False;2022-05-27 15:53:48.998720
cad59;25980076;GregorGysi;888289790;False;2022-05-27 15:53:48.998720
GregorGysi;888289790;PeterAumer;348460907;False;2022-05-27 15:53:48.998720
PeterAumer;348460907;GregorGysi;888289790;False;2022-05-27 15:53:48.998720
GregorGysi;888289790;baerbelbas;19438957;False;2022-05-27 15:53:48.998720
baerbelbas;19438957;GregorGysi;888289790;False;2022-05-27 15:53:48.998720
GregorGysi;888289790;Peter_Beyer;445375409;False;2022-05-27 15:53:48.998720
Peter_Beyer;445375409;GregorGysi;888289790;False;2022-05-27 15:53:48.998720
GregorGysi;888289790;SteffenBilger;23925041;False;2022-05-27 15:53:48.998720
SteffenBilger;23925041;GregorGysi;888289790;False;2022-05-27 15:53:48.998720
GregorGysi;888289790;MWBirkwald;748851762;True;2022-05-27 15:53:48.998720
MWBirkwald;748851762;GregorGysi;888289790;True;2022-05-27 15:53:48.998720
