"source_screen_name;source_id;target_screen_name;target_id;following;api_call"
"GuntherKrichba3;1161098384020824069;Bundeskanzler;1489164711652466688;False;2022-06-15 10:34:49.602350"
"Bundeskanzler;1489164711652466688;guenterkrings;392312829;False;2022-06-15 10:34:49.966125"
"guenterkrings;392312829;Bundeskanzler;1489164711652466688;False;2022-06-15 10:34:49.966125"
"Bundeskanzler;1489164711652466688;RenateKuenast;1425265488;False;2022-06-15 10:34:50.318251"
"RenateKuenast;1425265488;Bundeskanzler;1489164711652466688;True;2022-06-15 10:34:50.318251"
"Bundeskanzler;1489164711652466688;markuskurthmdb;150188536;False;2022-06-15 10:34:50.681444"
"markuskurthmdb;150188536;Bundeskanzler;1489164711652466688;True;2022-06-15 10:34:50.681444"
"Bundeskanzler;1489164711652466688;LoetzschMdB;24178198;False;2022-06-15 10:34:51.035139"
"LoetzschMdB;24178198;Bundeskanzler;1489164711652466688;True;2022-06-15 10:34:51.035139"
"Bundeskanzler;1489164711652466688;AnnaLuehrmann;1179715307440619522;False;2022-06-15 10:34:51.401145"
"AnnaLuehrmann;1179715307440619522;Bundeskanzler;1489164711652466688;False;2022-06-15 10:34:51.401145"
"Bundeskanzler;1489164711652466688;DoroBaer;140821364;False;2022-06-15 10:34:51.855797"
"DoroBaer;140821364;Bundeskanzler;1489164711652466688;True;2022-06-15 10:34:51.855797"
"Bundeskanzler;1489164711652466688;StephanMayerCSU;1496859134708310022;False;2022-06-15 10:34:52.279618"
"StephanMayerCSU;1496859134708310022;Bundeskanzler;1489164711652466688;True;2022-06-15 10:34:52.279618"
"Bundeskanzler;1489164711652466688;smuellermdb;17960911;False;2022-06-15 10:34:52.688724"
"smuellermdb;17960911;Bundeskanzler;1489164711652466688;True;2022-06-15 10:34:52.688724"
"Bundeskanzler;1489164711652466688;DaniLudwigMdB;1019846605044936705;False;2022-06-15 10:34:53.085784"
"DaniLudwigMdB;1019846605044936705;Bundeskanzler;1489164711652466688;True;2022-06-15 10:34:53.085784"
"Bundeskanzler;1489164711652466688;andreasscheuer;50315139;False;2022-06-15 10:34:53.596220"
"andreasscheuer;50315139;Bundeskanzler;1489164711652466688;False;2022-06-15 10:34:53.596220"
"Bundeskanzler;1489164711652466688;SilberhornMdB;951489275312443392;False;2022-06-15 10:34:54.007530"
"SilberhornMdB;951489275312443392;Bundeskanzler;1489164711652466688;False;2022-06-15 10:34:54.007530"
"Bundeskanzler;1489164711652466688;jensspahn;299650387;False;2022-06-15 10:34:54.438275"
"jensspahn;299650387;Bundeskanzler;1489164711652466688;False;2022-06-15 10:34:54.438275"
"Bundeskanzler;1489164711652466688;CvStetten;1334019378;False;2022-06-15 10:34:54.824964"
"CvStetten;1334019378;Bundeskanzler;1489164711652466688;False;2022-06-15 10:34:54.824964"
"Bundeskanzler;1489164711652466688;gero_storjohann;20534846;False;2022-06-15 10:34:55.234337"
"gero_storjohann;20534846;Bundeskanzler;1489164711652466688;True;2022-06-15 10:34:55.234337"
"Bundeskanzler;1489164711652466688;AntjeTillmann;1082925763316367360;False;2022-06-15 10:34:55.643305"
"AntjeTillmann;1082925763316367360;Bundeskanzler;1489164711652466688;True;2022-06-15 10:34:55.643305"
"Bundeskanzler;1489164711652466688;wanderwitz;16361044;False;2022-06-15 10:34:55.937291"
"wanderwitz;16361044;Bundeskanzler;1489164711652466688;False;2022-06-15 10:34:55.937291"
"Bundeskanzler;1489164711652466688;Wissing;20593301;True;2022-06-15 10:34:56.230741"
"Wissing;20593301;Bundeskanzler;1489164711652466688;True;2022-06-15 10:34:56.230741"
"Bundeskanzler;1489164711652466688;BaerbelKofler;193629792;False;2022-06-15 10:34:56.498459"
"BaerbelKofler;193629792;Bundeskanzler;1489164711652466688;False;2022-06-15 10:34:56.498459"
"Bundeskanzler;1489164711652466688;larsklingbeil;16255941;False;2022-06-15 10:34:56.848955"
"larsklingbeil;16255941;Bundeskanzler;1489164711652466688;True;2022-06-15 10:34:56.848955"
"Bundeskanzler;1489164711652466688;NielsAnnen;42401449;False;2022-06-15 10:34:57.179120"
"NielsAnnen;42401449;Bundeskanzler;1489164711652466688;True;2022-06-15 10:34:57.179120"
"Bundeskanzler;1489164711652466688;Thomas_Bareiss;2797812265;False;2022-06-15 10:34:57.694773"
"Thomas_Bareiss;2797812265;Bundeskanzler;1489164711652466688;True;2022-06-15 10:34:57.694773"
"Bundeskanzler;1489164711652466688;SevimDagdelen;139407967;False;2022-06-15 10:34:57.977564"
"SevimDagdelen;139407967;Bundeskanzler;1489164711652466688;True;2022-06-15 10:34:57.977564"
"Bundeskanzler;1489164711652466688;ernst_klaus;64994645;False;2022-06-15 10:34:58.408460"
"ernst_klaus;64994645;Bundeskanzler;1489164711652466688;True;2022-06-15 10:34:58.408460"
"Bundeskanzler;1489164711652466688;KaiGehring;110368456;False;2022-06-15 10:34:58.700478"
"KaiGehring;110368456;Bundeskanzler;1489164711652466688;True;2022-06-15 10:34:58.700478"
"Bundeskanzler;1489164711652466688;BriHasselmann;1131092102;False;2022-06-15 10:34:58.990639"
"BriHasselmann;1131092102;Bundeskanzler;1489164711652466688;True;2022-06-15 10:34:58.990639"
"Bundeskanzler;1489164711652466688;ToniHofreiter;442678902;False;2022-06-15 10:34:59.329923"
"ToniHofreiter;442678902;Bundeskanzler;1489164711652466688;False;2022-06-15 10:34:59.329923"
"Bundeskanzler;1489164711652466688;josip_juratovic;738731811380076544;False;2022-06-15 10:34:59.611394"
"josip_juratovic;738731811380076544;Bundeskanzler;1489164711652466688;False;2022-06-15 10:34:59.611394"
"Bundeskanzler;1489164711652466688;katjakipping;28066013;False;2022-06-15 10:34:59.945450"
"katjakipping;28066013;Bundeskanzler;1489164711652466688;False;2022-06-15 10:34:59.945450"
"Bundeskanzler;1489164711652466688;jankortemdb;4164673821;False;2022-06-15 10:35:00.358559"
"jankortemdb;4164673821;Bundeskanzler;1489164711652466688;False;2022-06-15 10:35:00.358559"
"Bundeskanzler;1489164711652466688;Karl_Lauterbach;3292982985;True;2022-06-15 10:35:00.704095"
"Karl_Lauterbach;3292982985;Bundeskanzler;1489164711652466688;True;2022-06-15 10:35:00.704095"
"Bundeskanzler;1489164711652466688;michael_g_link;3034092143;False;2022-06-15 10:35:01.072331"
"michael_g_link;3034092143;Bundeskanzler;1489164711652466688;False;2022-06-15 10:35:01.072331"
"Bundeskanzler;1489164711652466688;KatjaMast;937678874095300609;False;2022-06-15 10:35:01.486175"
"KatjaMast;937678874095300609;Bundeskanzler;1489164711652466688;True;2022-06-15 10:35:01.486175"
"Bundeskanzler;1489164711652466688;CarstenMuellers;53945479;False;2022-06-15 10:35:01.890281"
"CarstenMuellers;53945479;Bundeskanzler;1489164711652466688;False;2022-06-15 10:35:01.890281"
"Bundeskanzler;1489164711652466688;MuellerChemnitz;784760007275515904;False;2022-06-15 10:35:02.196785"
"MuellerChemnitz;784760007275515904;Bundeskanzler;1489164711652466688;True;2022-06-15 10:35:02.196785"
"Bundeskanzler;1489164711652466688;HenningOtteMdB;1416388709264633858;False;2022-06-15 10:35:02.608897"
"HenningOtteMdB;1416388709264633858;Bundeskanzler;1489164711652466688;False;2022-06-15 10:35:02.608897"
"Bundeskanzler;1489164711652466688;SoenkeRix;36327895;False;2022-06-15 10:35:03.016984"
"SoenkeRix;36327895;Bundeskanzler;1489164711652466688;False;2022-06-15 10:35:03.016984"
"Bundeskanzler;1489164711652466688;f_schaeffler;18189342;False;2022-06-15 10:35:03.424873"
"f_schaeffler;18189342;Bundeskanzler;1489164711652466688;False;2022-06-15 10:35:03.424873"
"Bundeskanzler;1489164711652466688;m_schieder;1306503986791448576;False;2022-06-15 10:35:03.835576"
"m_schieder;1306503986791448576;Bundeskanzler;1489164711652466688;False;2022-06-15 10:35:03.835576"
"Bundeskanzler;1489164711652466688;FrankSchwabe;30050484;False;2022-06-15 10:35:04.117919"
"FrankSchwabe;30050484;Bundeskanzler;1489164711652466688;True;2022-06-15 10:35:04.117919"
"Bundeskanzler;1489164711652466688;rischwasu;50932086;False;2022-06-15 10:35:04.451206"
"rischwasu;50932086;Bundeskanzler;1489164711652466688;True;2022-06-15 10:35:04.451206"
"Bundeskanzler;1489164711652466688;Petra_Sitte_MdB;293522998;False;2022-06-15 10:35:04.862971"
"Petra_Sitte_MdB;293522998;Bundeskanzler;1489164711652466688;False;2022-06-15 10:35:04.862971"
"Bundeskanzler;1489164711652466688;florian_toncar;17462171;False;2022-06-15 10:35:05.147328"
"florian_toncar;17462171;Bundeskanzler;1489164711652466688;False;2022-06-15 10:35:05.147328"
"Bundeskanzler;1489164711652466688;ElisabethWinke4;1386075729780162569;False;2022-06-15 10:35:05.477636"
"ElisabethWinke4;1386075729780162569;Bundeskanzler;1489164711652466688;False;2022-06-15 10:35:05.477636"
"Bundeskanzler;1489164711652466688;nouripour;16674128;False;2022-06-15 10:35:05.887623"
"nouripour;16674128;Bundeskanzler;1489164711652466688;True;2022-06-15 10:35:05.887623"
"Bundeskanzler;1489164711652466688;W_SK;20840049;False;2022-06-15 10:35:06.293621"
"W_SK;20840049;Bundeskanzler;1489164711652466688;True;2022-06-15 10:35:06.293621"
"Bundeskanzler;1489164711652466688;ChristianHirte;37642893;False;2022-06-15 10:35:06.805277"
"ChristianHirte;37642893;Bundeskanzler;1489164711652466688;True;2022-06-15 10:35:06.805277"
"Bundeskanzler;1489164711652466688;cad59;25980076;False;2022-06-15 10:35:07.218478"
"cad59;25980076;Bundeskanzler;1489164711652466688;False;2022-06-15 10:35:07.218478"
"Bundeskanzler;1489164711652466688;PeterAumer;348460907;False;2022-06-15 10:35:07.627265"
"PeterAumer;348460907;Bundeskanzler;1489164711652466688;False;2022-06-15 10:35:07.627265"
"Bundeskanzler;1489164711652466688;baerbelbas;19438957;False;2022-06-15 10:35:08.051610"
"baerbelbas;19438957;Bundeskanzler;1489164711652466688;True;2022-06-15 10:35:08.051610"
"Bundeskanzler;1489164711652466688;Peter_Beyer;445375409;False;2022-06-15 10:35:08.443467"
"Peter_Beyer;445375409;Bundeskanzler;1489164711652466688;True;2022-06-15 10:35:08.443467"
"Bundeskanzler;1489164711652466688;SteffenBilger;23925041;False;2022-06-15 10:35:08.852725"
"SteffenBilger;23925041;Bundeskanzler;1489164711652466688;False;2022-06-15 10:35:08.852725"
"Bundeskanzler;1489164711652466688;MWBirkwald;748851762;False;2022-06-15 10:35:09.281635"
"MWBirkwald;748851762;Bundeskanzler;1489164711652466688;False;2022-06-15 10:35:09.281635"
"Bundeskanzler;1489164711652466688;reinhardbrandl;262730721;False;2022-06-15 10:35:09.672077"
"reinhardbrandl;262730721;Bundeskanzler;1489164711652466688;True;2022-06-15 10:35:09.672077"
"Bundeskanzler;1489164711652466688;HeikeBrehmerMdB;150372237;False;2022-06-15 10:35:09.968016"
"HeikeBrehmerMdB;150372237;Bundeskanzler;1489164711652466688;False;2022-06-15 10:35:09.968016"
"Bundeskanzler;1489164711652466688;rbrinkhaus;38001527;False;2022-06-15 10:35:10.306111"
"rbrinkhaus;38001527;Bundeskanzler;1489164711652466688;False;2022-06-15 10:35:10.306111"
"Bundeskanzler;1489164711652466688;MarcoBuschmann;106136813;True;2022-06-15 10:35:10.696698"
"MarcoBuschmann;106136813;Bundeskanzler;1489164711652466688;True;2022-06-15 10:35:10.696698"
"Bundeskanzler;1489164711652466688;DjirSarai;960463104537657344;False;2022-06-15 10:35:11.108879"
"DjirSarai;960463104537657344;Bundeskanzler;1489164711652466688;False;2022-06-15 10:35:11.108879"
"Bundeskanzler;1489164711652466688;FrankeEdgar;481393623;False;2022-06-15 10:35:11.543403"
"FrankeEdgar;481393623;Bundeskanzler;1489164711652466688;False;2022-06-15 10:35:11.543403"
