bundestag_id;twitter_handle;account_type
11004744;MarcHenrichmann;person
11004745;HerbrandMarkus;person
11004746;torstenherbst;person
11005083;BHerrmann_;person
11005084;NHeselhaus;person
11004749;Martin_Hess_AfD;person
11004750;fdp_hessel;person
11004056;NA;person
11005085;HierlSusanne;person
11004752;HilseMdb;person
11003890;ChristianHirte;person
11004303;ThomasHitschler;person
11004753;Nicole_Hoechst;person
11004754;GeroHocker;person
11004057;ManuelHoeferlin;person
11004304;Hoffmann_MdB;person
11004756;bhoffmann_mdb;person
11004757;HoffmannForest;person
11003772;ToniHofreiter;person
11004761;Leif_Erik_Holm;person
11005086;Bruno_Hoenel;person
11004305;NA;person
11005087;FHoppermann;person
11005088;JasminaHostert;person
11004763;HoubenReinhard;person
11004764;Huber_AfD;person
11005089;verenahubertz;person
11005090;HumpferMarkus;person
11004060;AndrejHunko;person
11000975;HueppeMdB;person
11005091;GerritHuy;person
11004667;olafinderbeek;person
11004311;NA;person
11004767;NA;person
11004312;DJanecek;person
11005092;NA;person
11005093;NA;person
11004061;tj_tweets;person
11004941;GydeJ;person
11004768;Marc_Jongen;person
11003780;NA;person
11004770;Ingmar_Jung;person
11004317;jungeinberlin;person
11003782;josip_juratovic;person
11005094;avjurisch;person
11004063;KaczmarekOliver;person
11005095;LamyaKaddor;person
11004771;Kaiser_SPD;person
11004773;KirstenKappert;person
11005096;Macit_SPD;person
11004323;AnjaKarliczek;person
11005097;CarlosKasperMdB;person
11005098;annakassautzki;person
11004325;GabyKatzmarek;person
11005099;MalteKaufmann;person
11005100;KaufmannAfD;person
11005101;RainerKellerWES;person
11005102;MiKellner;person
11004617;RonjaKemmer;person
11005103;FKerstenMdB;person
11004067;KatjaKeul;person
11004778;StefanKeuterAfD;person
11005104;Bina_Khan_;person
11004779;Kiessling_MdB;person
11004068;RKiesewetter;person
11004070;sven_kindler;person
11004327;NA;person
11003786;katjakipping;person
11004328;CanselK;person
11005105;helmut_kleebank;person
11004071;VolkmarKlein;person
11004780;MdBKlein;person
11005106;Ottilie_Klein;person
11004072;MariaKlSchmeink;person
11004781;NKleinwaechter;person
11005107;NA;person
11003715;larsklingbeil;person
11003566;JuliaKloeckner;person
11005108;AnniKlose;person
11004784;DanielaKluckert;person
11005109;timkluessendorf;person
11004073;axel_knoerig;person
11004075;PascalKober;person
11003789;NA;person
11003710;BaerbelKofler;person
11004786;koehler_fdp;person
11004787;EnricoKomning;person
11004788;JoernKoenigAfD;person
11005110;AnneKoenig_;person
11004789;carina_konrad;person
11004331;KoobMar;person
11005111;chantal_kopf;person
11004332;CarstenKoerber;person
11003790;jankortemdb;person
11005112;SimonaMdB;person
11004791;SteffenKotre;person
11004792;Dr_Rainer_Kraft;person
11005113;laura_kraft_;person
11005114;PhiKraemer;person
11003162;AnetteKramme;person
11005115;NA;person
11003573;GuntherKrichba3;person
11003574;guenterkrings;person
11004081;Oliver_Krischer;person
11005116;MartinKroeber;person
11005117;krusehamburg;person
11005118;TKuban96;person
11001235;NA;person
11004796;KonstantinKuhle;person
11004333;ChrisKuehn_mdb;person
11005119;KuehniKev;person
11003576;RenateKuenast;person
11003578;markuskurthmdb;person
11005120;SLahrkamp;person
11004798;Lambsdorff;person
11005121;Ricarda_Lang;person
11004087;UlrichLange;person
11005122;andreaslarem;person
11002718;ArminLaschet;person
11005123;NA;person
11004336;SilkeLaunert;person
11003797;Karl_Lauterbach;person
11004088;CarenLay;person
11004799;ulrichlechte;person
11004800;NA;person
11004801;svenlehmann;person
11004953;LehmannSpd;person
11003799;NA;person
11004337;KLeikert;person
11005124;KLHohenlohe;person
11002720;SteffiLemke;person
11005125;JurgenLenders;person
11005126;NA;person
11004091;RLenkert;person
11004339;DerLenzMdB;person
11005127;christian_leye;person
11005128;BodeLuiza;person
11005129;ThorstenLieb;person
11005130;anja_liebert;person
11005131;EsraLimbacher;person
11005132;Helge_Limburg;person
11004095;LFLindemann;person
11004802;helgelindh;person
11004342;AndreaLindholz;person
11004097;c_lindner;person
11004217;tobiaslindner;person
11003802;michael_g_link;person
11004098;NA;person
11003582;NA;person
11005133;denise_loop;person
11004806;NA;person
11003584;LoetzschMdB;person
11004807;MdB_Lucassen;person
11005134;max_lucks;person
11004100;JM_Luczak;person
11003613;DaniLudwigMdB;person
11005135;BettinaLugk;person
11003585;AnnaLuehrmann;person
11004102;OlliLuksic;person
11005136;kristine_lutke;person
11004103;thlutze;person
11004809;HeikoMaas;person
11005137;TMachalet;person
11005138;NA;person
11004949;IsabelMackensen;person
11004346;YvonneMagwas;person
11005139;EVMGreifswald;person
11005140;HolgerMannLE;person
11004815;TillMansmann;person
11005141;El_KaWeh_;person
11005142;ZandaMartens;person
11004959;Doro_Martin;person
11005143;ParsaMarvi;person
11005144;f_mascheck;person
11003804;KatjaMast;person
11004108;AMattfeldt;person
11003589;StephanMayerCSU;person
11005145;zoe_gruene;person
11005146;VMayer_Lay;person
11005147;Mehli;person
11005148;TakisMehmetAli;person
11004819;pascalmeiser;person
11002733;meister_schafft;person
11005149;NA;person
11005150;AnikoMerten;person
11002735;_friedrichmerz;person
11005151;mesarosch;person
11004352;JanMetzler;person
11004820;Meyer_FDP;person
11004821;CorinnaMiazga;person
11005152;SwantjeMichael1;person
11005153;Kthrn_Mchl_SPD;person
11004110;NA;person
11003809;NA;person
11005154;NA;person
11004353;IreneMihalic;person
11005155;borismijatovic;person
11004355;MittagSusanne;person
11004823;Amira_M_Ali;person
11004111;Conni_Moehring;person
11004824;FalkoMohrs;person
11004825;ClaudiaMollMdB;person
11004826;SiemtjeMdB;person
11005156;Mike_Moncsek;person
11004113;MdBMonstadt;person
11005157;MMoosdorf;person
11005158;maxmordhorst;person
11005159;maxmoerseburg;person
11003597;smuellermdb;person
11003815;CarstenMuellers;person
11003816;MuellerChemnitz;person
11004358;BetMueller;person
11004828;alexmuellerfdp;person
11004829;NA;person
11004830;GruenClaudia;person
11004832;mueller_sepp;person
11005160;FlorianMM;person
11005161;NA;person
11005162;SaschaMuller;person
11004117;GrueneBeate;person
11004834;theliberalfrank;person
11004359;Mi_Muentefering;person
11004836;S_Muenzenmaier;person
11003599;NA;person
11005163;NA;person
11005164;SaraNanni;person
11005165;rasha_nasr_;person
11004837;ZaklinNastic;person
11005166;edgar_naujok;person
11004119;Ingrid_Nestle;person
11005167;OpheliaNick;person
11005168;BrianNickholz;person
11004841;NA;person
11003199;NA;person
11004842;Jan_Nolte_AfD;person
11004123;KonstantinNotz;person
11003881;nouripour;person
11005169;joergnurnberger;person
11005170;lennardoehl;person
11004365;WilfriedOellers;person
11005171;MoritzOppelt;person
11004844;josephineortleb;person
11004366;Florian_Ossner;person
11004845;josefoster;person
11003821;HenningOtteMdB;person
11005172;karo_otte;person
11004846;Gerold_Otten;person
11002746;cem_oezdemir;person
11004368;oezdemir_spd;person
11004124;oezoguz;person
11005173;J_Pahlke;person
11005174;Dr_Pantazis;person
11005175;NA;person
11005176;M_Papendieck;person
11003206;PetraPauMaHe;person
11004127;lisapaus;person
11005177;natalie_pawlik;person
11005178;JensPeick;person
11004848;LINKEPELLI;person
11004849;victorperli;person
11004850;TobiasMPeterka;person
11004605;CPetryMdB;person
11005179;PhilippiSpd;person
11005180;PaulaPiechotta;person
11004853;StephPilsinger;person
11005181;JanPlobner;person
11004854;christophploss;person
11005182;MartinPlumMdB;person
11004856;Pohl_MdB;person
11004857;filizgreen;person
11004377;NA;person
11004378;Achim_P;person
11004858;AfDProtschka;person
11002754;_thomasrachel;person
11004382;NA;person
11004383;AlexanderRadwan;person
11005273;CRaffelhueschen;person
11004384;AloisRainer;person
11001772;NA;person
11005183;docredder;person
11005184;HenningRehbaum;person
11004859;M_Reichardt_AfD;person
11005185;MarkusReichelDD;person
11005186;HeidiReichinnek;person
11005187;NA;person
11004229;reinholdmdb;person
11004385;MartinaRenner;person
11004862;Renner_AfD;person
11004864;reuther_bernd;person
11005188;YeOne_Rhie;person
11004136;NA;person
11004865;b_riexinger;person
11004387;Andreas_Rimkus;person
11005189;NA;person
11003830;SoenkeRix;person
11004388;NA;person
11005190;NA;person
11005191;SebRoloff;person
11004389;MartinRosemann;person
11005192;jessi_rosenthal;person
11004138;TabeaRoessner;person
11003212;NA;person
11003213;MiRo_SPD;person
11002765;n_roettgen;person
11004866;ManuelaRottman;person
11004867;StefanRouenhoff;person
11005193;TR_Bremen;person
11004139;Erwin_Rueddel;person
11005194;jethoru;person
11005195;NA;person
11004390;crueffer;person
11003620;NA;person
11004392;ruetzelbernd;person
11004622;RyglewskiS;person
11004393;Johann_Saathoff;person
11005198;CatarinaDosSa;person
11004869;th_sattelberger;person
11004871;Chr_Sauter;person
11003624;NA;person
11005199;ingoschaeferspd;person
11005200;jamila_anna;person
11005201;sebastian_es_;person
11003834;f_schaeffler;person
11005202;NA;person
11005203;Schattner_MdB;person
11005204;SchaetzlJo;person
11001938;NA;person
11004395;ulle_schauws;person
11004396;NinaScheer_SPD;person
11005205;schenderleinmdb;person
11003625;andreasscheuer;person
11003838;m_schieder;person
11004397;UdoSchiefner;person
11004873;ulschzi;person
11005206;NA;person
11004398;JanaSchimke;person
11005207;NA;person
11004876;NilsSchmid;person
11005208;kratermensch;person
11004401;dieschmidt;person
11004877;Schmidt_MdB;person
11004878;NA;person
11005209;AfDrus;person
11005210;jws_afd;person
11003218;schneidercar;person
11004880;Schneider_AfD;person
11005211;schneider_cux;person
11004146;Pschnieder;person
11003231;OlafScholz;person
11004116;NadineSchoen;person
11005212;lime_green_leni;person
11004881;jschraps;person
11005213;NA;person
11004883;felixschreiner;person
11005214;cj_schroeder;person
11005215;ria_schroeder;person
11004884;mischrodi;person
11004888;Uwe_Schulz_AfD;person
11005216;_anja_schulz;person
11004405;K_SA;person
11005217;SvenjaSchulze68;person
11003846;FrankSchwabe;person
11004150;s_schwartze;person
11004407;Schwarz_MdB;person
11005218;ArminSchwarz;person
11003847;rischwasu;person
11004890;mseesternpauly;person
11005219;stefan_seidler;person
11004152;NA;person
11005220;StSeiter;person
11004891;Th_Seitz_AfD;person
11005221;Lina_Seitzl;person
11005222;Melis_S;person
11005223;RainerSemet;person
11004892;Martin_Sichert;person
11003636;SilberhornMdB;person
11004893;BjoernSimon;person
11003848;Petra_Sitte_MdB;person
11004159;JudithSkudelny;person
11005224;nyke_slawik;person
11004409;TinoSorge;person
11003638;jensspahn;person
11005225;AnneSpallek;person
11004899;DirkSpaniel;person
11005226;spellerberg_m;person
11004900;Rene_Springer;person
11004412;stadler_svenja;person
11004901;katrin_staffler;person
11005227;ninastahr;person
11004413;stamm_fibich;person
11004902;starkwatzinger;person
11005228;till_steffen;person
11004414;StefingerMdB;person
11004415;StegemannAlbert;person
11005229;Ralf_Stegner;person
11004904;stonie_kiel;person
11004418;JoSteiniger;person
11005230;HanSteinmueller;person
11003639;CvStetten;person
11005231;nadjasthamer;person
11004168;NA;person
11005232;NA;person
11005233;NA;person
11005234;KonradStockmei1;person
11004905;Beatrix_vStorch;person
11003643;gero_storjohann;person
11004906;MAStrackZi;person
11004169;NA;person
11004908;bstrasser;person
11002812;NA;person
11003888;W_SK;person
11005235;NA;person
11005236;stuewer;person
11005197;kassem_ts;person
11004911;jessica_tatti;person
11004423;NA;person
11004912;NA;person
11005237;AwetTesfaiesus;person
11004913;LindaTeuteberg;person
11005238;jensteutrine;person
11004914;EUTheurer;person
11004424;michael_thews;person
11004915;NA;person
11004175;StephanThomae;person
11004917;alexander_throm;person
11003646;AntjeTillmann;person
11004425;NA;person
11005239;NicoTippelt;person
11004222;MTodtenhausen;person
11003856;florian_toncar;person
11004921;NA;person
11004426;CarstenTraeger;person
11003246;JTrittin;person
11005240;anja_troff;person
11005241;derya_tn;person
11004645;uhl_markus;person
11005242;katrinuhligbn;person
11004922;UllmannMdB;person
11004427;VolkerUllrich;person
11004923;G_UllrichFDP;person
11005243;NA;person
11003858;NA;person
11004429;julia_verlinden;person
11004924;Kerstin_4egge;person
11004179;johannesvogel;person
11004181;voglerk;person
11005244;NA;person
11004942;MarjaVoellers;person
11004433;NA;person
11004926;VriesChristoph;person
