bundestag_id;nachname;vorname;wp;fraktion;twitter_handle;account_type
11003638;Spahn;Jens;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;jensspahn;person
11003639;Stetten;Christian;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;CvStetten;person
11003643;Storjohann;Gero;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;gero_storjohann;person
11003646;Tillmann;Antje;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;AntjeTillmann;person
11003655;Wanderwitz;Marco;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;wanderwitz;person
11003702;Wissing;Volker;20;Fraktion der Freien Demokratischen Partei;Wissing;person
11003706;Auernhammer;Artur;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;;person
11003710;Kofler;Bärbel;20;Fraktion der Sozialdemokratischen Partei Deutschlands;BaerbelKofler;person
11003715;Klingbeil;Lars;20;Fraktion der Sozialdemokratischen Partei Deutschlands;larsklingbeil;person
11003732;Annen;Niels;20;Fraktion der Sozialdemokratischen Partei Deutschlands;NielsAnnen;person
11003734;Bareiß;Thomas;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;Thomas_Bareiss;person
11003742;Brand;Michael;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;;person
11003746;Dağdelen;Sevim;20;Fraktion DIE LINKE.;SevimDagdelen;person
11003753;Ernst;Klaus;20;Fraktion DIE LINKE.;ernst_klaus;person
11003756;Gehring;Kai;20;Fraktion BÜNDNIS 90/DIE GRÜNEN;KaiGehring;person
11003758;Gerster;Martin;20;Fraktion der Sozialdemokratischen Partei Deutschlands;;person
11003761;Grütters;Monika;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;;person
11003764;Haßelmann;Britta;20;Fraktion BÜNDNIS 90/DIE GRÜNEN;BriHasselmann;person
11003772;Hofreiter;Anton;20;Fraktion BÜNDNIS 90/DIE GRÜNEN;ToniHofreiter;person
11003780;Jung;Andreas;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;;person
11003782;Juratovic;Josip;20;Fraktion der Sozialdemokratischen Partei Deutschlands;josip_juratovic;person
11003786;Kipping;Katja;20;Fraktion DIE LINKE.;katjakipping;person
11003789;Koeppen;Jens;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;;person
11003790;Korte;Jan;20;Fraktion DIE LINKE.;jankortemdb;person
11003797;Lauterbach;Karl;20;Fraktion der Sozialdemokratischen Partei Deutschlands;Karl_Lauterbach;person
11003799;Lehrieder;Paul;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;;person
11003802;Link;Michael Georg;20;Fraktion der Freien Demokratischen Partei;michael_g_link;person
11003804;Mast;Katja;20;Fraktion der Sozialdemokratischen Partei Deutschlands;KatjaMast;person
11003809;Miersch;Matthias;20;Fraktion der Sozialdemokratischen Partei Deutschlands;;person
11003815;Müller;Carsten;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;CarstenMuellers;person
11003816;Müller;Detlef;20;Fraktion der Sozialdemokratischen Partei Deutschlands;MuellerChemnitz;person
11003821;Otte;Henning;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;HenningOtteMdB;person
11003830;Rix;Sönke;20;Fraktion der Sozialdemokratischen Partei Deutschlands;SoenkeRix;person
11003834;Schäffler;Frank;20;Fraktion der Freien Demokratischen Partei;f_schaeffler;person
11003838;Schieder;Marianne;20;Fraktion der Sozialdemokratischen Partei Deutschlands;m_schieder;person
11003846;Schwabe;Frank;20;Fraktion der Sozialdemokratischen Partei Deutschlands;FrankSchwabe;person
11003847;Schwarzelühr-Sutter;Rita;20;Fraktion der Sozialdemokratischen Partei Deutschlands;rischwasu;person
11003848;Sitte;Petra;20;Fraktion DIE LINKE.;Petra_Sitte_MdB;person
11003856;Toncar;Florian;20;Fraktion der Freien Demokratischen Partei;florian_toncar;person
11003858;Ulrich;Alexander;20;Fraktion DIE LINKE.;;person
11003865;Winkelmeier-Becker;Elisabeth;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;ElisabethWinke4;person
11003881;Nouripour;Omid;20;Fraktion BÜNDNIS 90/DIE GRÜNEN;nouripour;person
11003888;Strengmann-Kuhn;Wolfgang;20;Fraktion BÜNDNIS 90/DIE GRÜNEN;W_SK;person
11003890;Hirte;Christian;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;ChristianHirte;person
11004003;Aschenberg-Dugnus;Christine;20;Fraktion der Freien Demokratischen Partei;cad59;person
11004004;Aumer;Peter;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;PeterAumer;person
11004006;Bas;Bärbel;20;Fraktion der Sozialdemokratischen Partei Deutschlands;baerbelbas;person
11004010;Beyer;Peter;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;Peter_Beyer;person
11004011;Bilger;Steffen;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;SteffenBilger;person
11004012;Birkwald;Matthias W.;20;Fraktion DIE LINKE.;MWBirkwald;person
11004018;Brandl;Reinhard;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;reinhardbrandl;person
11004019;Brehmer;Heike;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;HeikeBrehmerMdB;person
11004021;Brinkhaus;Ralph;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;rbrinkhaus;person
11004023;Buschmann;Marco;20;Fraktion der Freien Demokratischen Partei;MarcoBuschmann;person
11004029;Djir-Sarai;Bijan;20;Fraktion der Freien Demokratischen Partei;DjirSarai;person
11004033;Franke;Edgar;20;Fraktion der Sozialdemokratischen Partei Deutschlands;FrankeEdgar;person
11004034;Frieser;Michael;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;MichaelFrieser;person
11004036;Gädechens;Ingo;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;gadechens;person
11004038;Gebhart;Thomas;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;thomasgebhart;person
11004039;Gerdes;Michael;20;Fraktion der Sozialdemokratischen Partei Deutschlands;GerdesMdB;person
11004041;Gohlke;Nicole;20;Fraktion DIE LINKE.;NicoleGohlke;person
11004048;Hahn;Florian;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;hahnflo;person
11004050;Hardt;Jürgen;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;juergenhardt;person
11004052;Heil;Mechthild;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;MechthildHeil;person
11004056;Heveling;Ansgar;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;;person
11004057;Höferlin;Manuel;20;Fraktion der Freien Demokratischen Partei;ManuelHoeferlin;person
11004060;Hunko;Andrej;20;Fraktion DIE LINKE.;AndrejHunko;person
11004061;Jarzombek;Thomas;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;tj_tweets;person
11004063;Kaczmarek;Oliver;20;Fraktion der Sozialdemokratischen Partei Deutschlands;KaczmarekOliver;person
11004067;Keul;Katja;20;Fraktion BÜNDNIS 90/DIE GRÜNEN;KatjaKeul;person
11004068;Kiesewetter;Roderich;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;RKiesewetter;person
11004070;Kindler;Sven-Christian;20;Fraktion BÜNDNIS 90/DIE GRÜNEN;sven_kindler;person
11004071;Klein;Volkmar;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;VolkmarKlein;person
11004072;Klein-Schmeink;Maria;20;Fraktion BÜNDNIS 90/DIE GRÜNEN;MariaKlSchmeink;person
11004073;Knoerig;Axel;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;axel_knoerig;person
11004075;Kober;Pascal;20;Fraktion der Freien Demokratischen Partei;PascalKober;person
11004081;Krischer;Oliver;20;Fraktion BÜNDNIS 90/DIE GRÜNEN;Oliver_Krischer;person
11004087;Lange;Ulrich;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;UlrichLange;person
11004088;Lay;Caren;20;Fraktion DIE LINKE.;CarenLay;person
11004091;Lenkert;Ralph;20;Fraktion DIE LINKE.;RLenkert;person
11004095;Lindemann;Lars;20;Fraktion der Freien Demokratischen Partei;LFLindemann;person
11004097;Lindner;Christian;20;Fraktion der Freien Demokratischen Partei;c_lindner;person
11004098;Linnemann;Carsten;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;;person
11004100;Luczak;Jan-Marco;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;JM_Luczak;person
11004102;Luksic;Oliver;20;Fraktion der Freien Demokratischen Partei;OlliLuksic;person
11004103;Lutze;Thomas;20;Fraktion DIE LINKE.;thlutze;person
11004106;Brugger;Agnieszka;20;Fraktion BÜNDNIS 90/DIE GRÜNEN;agnieszka_mdb;person
11004108;Mattfeldt;Andreas;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;AMattfeldt;person
11004110;Middelberg;Mathias;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;;person
11004111;Möhring;Cornelia;20;Fraktion DIE LINKE.;Conni_Moehring;person
11004113;Monstadt;Dietrich;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;MdBMonstadt;person
11004116;Schön;Nadine;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;NadineSchoen;person
11004117;Müller-Gemmeke;Beate;20;Fraktion BÜNDNIS 90/DIE GRÜNEN;GrueneBeate;person
11004119;Nestle;Ingrid;20;Fraktion BÜNDNIS 90/DIE GRÜNEN;Ingrid_Nestle;person
11004123;Notz;Konstantin;20;Fraktion BÜNDNIS 90/DIE GRÜNEN;KonstantinNotz;person
11004124;Özoğuz;Aydan;20;Fraktion der Sozialdemokratischen Partei Deutschlands;oezoguz;person
