bundestag_id;nachname;vorname;wp;fraktion
11004100;Luczak;Jan-Marco;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
11004102;Luksic;Oliver;20;Fraktion der Freien Demokratischen Partei
11004103;Lutze;Thomas;20;Fraktion DIE LINKE.
11004106;Brugger;Agnieszka;20;Fraktion BÜNDNIS 90/DIE GRÜNEN
11004108;Mattfeldt;Andreas;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
11004110;Middelberg;Mathias;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
11004111;Möhring;Cornelia;20;Fraktion DIE LINKE.
11004113;Monstadt;Dietrich;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
11004116;Schön;Nadine;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
11004117;Müller-Gemmeke;Beate;20;Fraktion BÜNDNIS 90/DIE GRÜNEN
11004119;Nestle;Ingrid;20;Fraktion BÜNDNIS 90/DIE GRÜNEN
11004123;Notz;Konstantin;20;Fraktion BÜNDNIS 90/DIE GRÜNEN
11004124;Özoğuz;Aydan;20;Fraktion der Sozialdemokratischen Partei Deutschlands
11004127;Paus;Lisa;20;Fraktion BÜNDNIS 90/DIE GRÜNEN
11004136;Rief;Josef;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
11004138;Rößner;Tabea;20;Fraktion BÜNDNIS 90/DIE GRÜNEN
11004139;Rüddel;Erwin;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
11004146;Schnieder;Patrick;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
11004150;Schwartze;Stefan;20;Fraktion der Sozialdemokratischen Partei Deutschlands
11004152;Seif;Detlef;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
11004159;Skudelny;Judith;20;Fraktion der Freien Demokratischen Partei
11004168;Stier;Dieter;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
11004169;Stracke;Stephan;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
11004175;Thomae;Stephan;20;Fraktion der Freien Demokratischen Partei
11004179;Vogel;Johannes;20;Fraktion der Freien Demokratischen Partei
11004181;Vogler;Kathrin;20;Fraktion DIE LINKE.
11004182;Wadephul;Johann David;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
11004183;Wagenknecht;Sahra;20;Fraktion DIE LINKE.
11004187;Weiss;Sabine;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
11004215;Ebner;Harald;20;Fraktion BÜNDNIS 90/DIE GRÜNEN
11004217;Lindner;Tobias;20;Fraktion BÜNDNIS 90/DIE GRÜNEN
11004221;Walter-Rosenheimer;Beate;20;Fraktion BÜNDNIS 90/DIE GRÜNEN
11004222;Todtenhausen;Manfred;20;Fraktion der Freien Demokratischen Partei
11004226;Hellmich;Wolfgang;20;Fraktion der Sozialdemokratischen Partei Deutschlands
11004229;Reinhold;Hagen;20;Fraktion der Freien Demokratischen Partei
11004241;Albani;Stephan;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
11004243;Amtsberg;Luise;20;Fraktion BÜNDNIS 90/DIE GRÜNEN
11004244;Baehrens;Heike;20;Fraktion der Sozialdemokratischen Partei Deutschlands
11004245;Baerbock;Annalena;20;Fraktion BÜNDNIS 90/DIE GRÜNEN
11004246;Bahr;Ulrike;20;Fraktion der Sozialdemokratischen Partei Deutschlands
11004252;Berghegger;André;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
11004255;Brantner;Franziska;20;Fraktion BÜNDNIS 90/DIE GRÜNEN
11004257;Castellucci;Lars;20;Fraktion der Sozialdemokratischen Partei Deutschlands
11004258;Daldrup;Bernhard;20;Fraktion der Sozialdemokratischen Partei Deutschlands
11004259;Diaby;Karamba;20;Fraktion der Sozialdemokratischen Partei Deutschlands
11004261;Dittmar;Sabine;20;Fraktion der Sozialdemokratischen Partei Deutschlands
11004262;Donth;Michael;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
11004263;Dröge;Katharina;20;Fraktion BÜNDNIS 90/DIE GRÜNEN
11004264;Durz;Hansjörg;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
11004267;Esken;Saskia;20;Fraktion der Sozialdemokratischen Partei Deutschlands
11004269;Färber;Hermann;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
11004270;Fechner;Johannes;20;Fraktion der Sozialdemokratischen Partei Deutschlands
11004271;Feiler;Uwe;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
11004276;Frei;Thorsten;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
11004278;Gastel;Matthias;20;Fraktion BÜNDNIS 90/DIE GRÜNEN
11004282;Grötsch;Uli;20;Fraktion der Sozialdemokratischen Partei Deutschlands
11004283;Grundmann;Oliver;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
11004285;Güntzler;Fritz;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
11004286;Haase;Christian;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
11004287;Hagl-Kehl;Rita;20;Fraktion der Sozialdemokratischen Partei Deutschlands
11004288;Hahn;André;20;Fraktion DIE LINKE.
11004289;Hakverdi;Metin;20;Fraktion der Sozialdemokratischen Partei Deutschlands
11004291;Hartmann;Sebastian;20;Fraktion der Sozialdemokratischen Partei Deutschlands
11004292;Hauer;Matthias;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
11004294;Heck;Stefan;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
11004295;Heidenblut;Dirk;20;Fraktion der Sozialdemokratischen Partei Deutschlands
11004296;Heinrich;Gabriela;20;Fraktion der Sozialdemokratischen Partei Deutschlands
11004298;Helfrich;Mark;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
11004303;Hitschler;Thomas;20;Fraktion der Sozialdemokratischen Partei Deutschlands
11004304;Hoffmann;Alexander;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
11004305;Hoppenstedt;Hendrik;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
11004311;Irlstorfer;Erich;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
11004312;Janecek;Dieter;20;Fraktion BÜNDNIS 90/DIE GRÜNEN
11004317;Junge;Frank;20;Fraktion der Sozialdemokratischen Partei Deutschlands
11004323;Karliczek;Anja;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
11004325;Katzmarek;Gabriele;20;Fraktion der Sozialdemokratischen Partei Deutschlands
11004327;Kippels;Georg;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
11004328;Kiziltepe;Cansel;20;Fraktion der Sozialdemokratischen Partei Deutschlands
11004331;Koob;Markus;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
11004332;Körber;Carsten;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
11004333;Kühn;Christian;20;Fraktion BÜNDNIS 90/DIE GRÜNEN
11004336;Launert;Silke;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
11004337;Leikert;Katja;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
11004339;Lenz;Andreas;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
11004342;Lindholz;Andrea;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
11004346;Magwas;Yvonne;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
11004352;Metzler;Jan;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
11004353;Mihalic;Irene;20;Fraktion BÜNDNIS 90/DIE GRÜNEN
11004355;Mittag;Susanne;20;Fraktion der Sozialdemokratischen Partei Deutschlands
11004358;Müller;Bettina;20;Fraktion der Sozialdemokratischen Partei Deutschlands
11004359;Müntefering;Michelle;20;Fraktion der Sozialdemokratischen Partei Deutschlands
11004365;Oellers;Wilfried;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
11004366;Oßner;Florian;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
11004368;Özdemir;Mahmut;20;Fraktion der Sozialdemokratischen Partei Deutschlands
11004377;Poschmann;Sabine;20;Fraktion der Sozialdemokratischen Partei Deutschlands
11004378;Post;Achim;20;Fraktion der Sozialdemokratischen Partei Deutschlands
11004382;Radomski;Kerstin;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
11004383;Radwan;Alexander;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
11004384;Rainer;Alois;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
11004385;Renner;Martina;20;Fraktion DIE LINKE.
11004387;Rimkus;Andreas;20;Fraktion der Sozialdemokratischen Partei Deutschlands
11004388;Rohde;Dennis;20;Fraktion der Sozialdemokratischen Partei Deutschlands
11004389;Rosemann;Martin;20;Fraktion der Sozialdemokratischen Partei Deutschlands
11004390;Rüffer;Corinna;20;Fraktion BÜNDNIS 90/DIE GRÜNEN
11004392;Rützel;Bernd;20;Fraktion der Sozialdemokratischen Partei Deutschlands
11004393;Saathoff;Johann;20;Fraktion der Sozialdemokratischen Partei Deutschlands
11004395;Schauws;Ulle;20;Fraktion BÜNDNIS 90/DIE GRÜNEN
11004396;Scheer;Nina;20;Fraktion der Sozialdemokratischen Partei Deutschlands
11004397;Schiefner;Udo;20;Fraktion der Sozialdemokratischen Partei Deutschlands
11004398;Schimke;Jana;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
11004401;Schmidt;Dagmar;20;Fraktion der Sozialdemokratischen Partei Deutschlands
11004405;Schulz-Asche;Kordula;20;Fraktion BÜNDNIS 90/DIE GRÜNEN
11004407;Schwarz;Andreas;20;Fraktion der Sozialdemokratischen Partei Deutschlands
11004409;Sorge;Tino;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
11004412;Stadler;Svenja;20;Fraktion der Sozialdemokratischen Partei Deutschlands
11004413;Stamm-Fibich;Martina;20;Fraktion der Sozialdemokratischen Partei Deutschlands
